O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,8
7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,8
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,8
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,6
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,1
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,1
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,2
6.67,7.45,8.56,7.99,5.35,3.5,3.01,3.04,3.56,8.23,7
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,7
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,1
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,5
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,0
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,2
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,5
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,1
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,8
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,8
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,0
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,7
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,1
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,5
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,3
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,4
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,8
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,8
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,5
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,0
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,0
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,5
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,5
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,0
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,8
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,6
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,6
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,5
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,5
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,6
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,6
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,2
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,2
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,2
